# Energy(eV)  Abs(norm)
0.60217044 -0.00996989
0.60446880 -0.01182171
0.60676716 -0.00948133
0.60906552 -0.01131293
0.61136388 -0.00909095
0.61366224 -0.01109653
0.61596060 -0.00915328
0.61825896 -0.01135162
0.62055732 -0.00957503
0.62285568 -0.01150363
0.62515405 -0.00946927
0.62745241 -0.01107652
0.62975077 -0.00882731
0.63204913 -0.01022145
0.63434749 -0.00816769
0.63664585 -0.00971557
0.63894421 -0.00790868
0.64124257 -0.00979724
0.64354093 -0.00807956
0.64583929 -0.00998199
0.64813765 -0.00824854
0.65043601 -0.01015271
0.65273437 -0.00833988
0.65503273 -0.01001176
0.65733109 -0.00812812
0.65962945 -0.00961578
0.66192781 -0.00765730
0.66422617 -0.00892211
0.66652453 -0.00703183
0.66882289 -0.00828188
0.67112125 -0.00652128
0.67341961 -0.00793660
0.67571798 -0.00634888
0.67801634 -0.00788484
0.68031470 -0.00639870
0.68261306 -0.00815154
0.68491142 -0.00671009
0.68720978 -0.00845650
0.68950814 -0.00707712
0.69180650 -0.00873415
0.69410486 -0.00730712
0.69640322 -0.00885082
0.69870158 -0.00729433
0.70099994 -0.00872041
0.70329830 -0.00710445
0.70559666 -0.00851857
0.70789502 -0.00696521
0.71019338 -0.00835546
0.71249174 -0.00686767
0.71479010 -0.00833144
0.71708846 -0.00685124
0.71938682 -0.00830810
0.72168518 -0.00677039
0.72398355 -0.00827871
0.72628191 -0.00666722
0.72858027 -0.00819899
0.73087863 -0.00656359
0.73317699 -0.00812465
0.73547535 -0.00648736
0.73777371 -0.00805831
0.74007207 -0.00642352
0.74237043 -0.00797808
0.74466879 -0.00633045
0.74696715 -0.00788924
0.74926551 -0.00621729
0.75156387 -0.00777339
0.75386223 -0.00611587
0.75616059 -0.00770275
0.75845895 -0.00603069
0.76075731 -0.00763526
0.76305567 -0.00598103
0.76535403 -0.00759378
0.76765239 -0.00590281
0.76995075 -0.00751305
0.77224911 -0.00579749
0.77454748 -0.00736081
0.77684584 -0.00564242
0.77914420 -0.00718939
0.78144256 -0.00548491
0.78374092 -0.00706526
0.78603928 -0.00537322
0.78833764 -0.00700132
0.79063600 -0.00531503
0.79293436 -0.00696060
0.79523272 -0.00526843
0.79753108 -0.00685451
0.79982944 -0.00516568
0.80212780 -0.00670678
0.80442616 -0.00502021
0.80672452 -0.00652718
0.80902288 -0.00489662
0.81132124 -0.00635046
0.81361960 -0.00478036
0.81591796 -0.00624156
0.81821632 -0.00465451
0.82051468 -0.00607451
0.82281304 -0.00449365
0.82511141 -0.00594422
0.82740977 -0.00428859
0.82970813 -0.00572468
0.83200649 -0.00417413
0.83430485 -0.00548819
0.83660321 -0.00393903
0.83890157 -0.00517100
0.84119993 -0.00363902
0.84349829 -0.00465188
0.84579665 -0.00319947
0.84809501 -0.00414147
0.85039337 -0.00250522
0.85269173 -0.00341208
0.85499009 -0.00173542
0.85728845 -0.00265466
0.85958681 -0.00094982
0.86188517 -0.00206684
0.86418353 -0.00083102
0.86648189 -0.00210077
0.86878025 -0.00126440
0.87107861 -0.00261368
0.87337698 -0.00186439
0.87567534 -0.00280538
0.87797370 -0.00206109
0.88027206 -0.00256715
0.88257042 -0.00163752
0.88486878 -0.00209946
0.88716714 -0.00133444
0.88946550 -0.00189937
0.89176386 -0.00105518
0.89406222 -0.00184873
0.89636058 -0.00107577
0.89865894 -0.00196999
0.90095730 -0.00122040
0.90325566 -0.00239741
0.90555402 -0.00190809
0.90785238 -0.00313589
0.91015074 -0.00297743
0.91244910 -0.00408693
0.91474746 -0.00378066
0.91704582 -0.00459094
0.91934418 -0.00418224
0.92164254 -0.00470354
0.92394091 -0.00389749
0.92623927 -0.00462496
0.92853763 -0.00359044
0.93083599 -0.00453233
0.93313435 -0.00341204
0.93543271 -0.00458774
0.93773107 -0.00350638
0.94002943 -0.00479811
0.94232779 -0.00374891
0.94462615 -0.00513548
0.94692451 -0.00407138
0.94922287 -0.00543437
0.95152123 -0.00438744
0.95381959 -0.00570271
0.95611795 -0.00443267
0.95841631 -0.00582341
0.96071467 -0.00433727
0.96301303 -0.00571379
0.96531139 -0.00413605
0.96760975 -0.00546369
0.96990811 -0.00399775
0.97220647 -0.00536876
0.97450484 -0.00391252
0.97680320 -0.00545405
0.97910156 -0.00403148
0.98139992 -0.00552905
0.98369828 -0.00415555
0.98599664 -0.00558874
0.98829500 -0.00416388
0.99059336 -0.00554592
0.99289172 -0.00410811
0.99519008 -0.00543399
0.99748844 -0.00401450
0.99978680 -0.00535694
1.00208516 -0.00394535
