# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00156690 0.01194248
0.00313380 0.04302143
0.00470069 0.08155981
0.00626759 0.11657793
0.00783449 0.13640996
0.00940139 0.12570675
0.01096828 0.13500280
0.01253518 0.12005185
0.01410208 0.11633830
0.01566898 0.12711239
0.01723587 0.13767344
0.01880277 0.15144047
0.02036967 0.16239147
0.02193657 0.17267868
0.02350347 0.17936311
0.02507036 0.18441885
0.02663726 0.18749202
0.02820416 0.19024725
0.02977106 0.18742037
0.03133795 0.19116060
0.03290485 0.19111825
0.03447175 0.19961372
0.03603865 0.20907449
0.03760555 0.22604041
0.03917244 0.24168357
0.04073934 0.25808964
0.04230624 0.26863326
0.04387314 0.27232824
0.04544003 0.27247052
0.04700693 0.26548462
0.04857383 0.25452067
0.05014073 0.24597168
0.05170762 0.22877209
0.05327452 0.22168797
0.05484142 0.20803890
0.05640832 0.20460139
0.05797522 0.19905670
0.05954211 0.19782871
0.06110901 0.19646744
0.06267591 0.19233048
0.06424281 0.18511311
0.06580970 0.17337145
0.06737660 0.16247420
0.06894350 0.14690257
0.07051040 0.13662037
0.07207729 0.12222204
0.07364419 0.11363257
0.07521109 0.10167007
0.07677799 0.09388435
0.07834489 0.08393090
0.07991178 0.07841383
0.08147868 0.07140859
0.08304558 0.06606469
0.08461248 0.06127161
0.08617937 0.05634351
0.08774627 0.05125594
0.08931317 0.04887390
0.09088007 0.04536720
0.09244696 0.04552901
0.09401386 0.04395886
0.09558076 0.04402763
0.09714766 0.04115248
0.09871456 0.04069571
0.10028145 0.03657004
0.10184835 0.03529434
0.10341525 0.03139430
0.10498215 0.03183104
0.10654904 0.02941576
0.10811594 0.03206484
0.10968284 0.03082743
0.11124974 0.03482503
0.11281664 0.03455743
0.11438353 0.03742594
0.11595043 0.03589173
0.11751733 0.03780834
0.11908423 0.03458209
0.12065112 0.03591758
0.12221802 0.03221300
0.12378492 0.03402168
0.12535182 0.03126853
0.12691871 0.03412362
0.12848561 0.03178247
0.13005251 0.03485665
0.13161941 0.03327677
0.13318631 0.03458730
0.13475320 0.03293862
0.13632010 0.03294908
0.13788700 0.03058630
0.13945390 0.03075091
0.14102079 0.02916811
0.14258769 0.02994341
0.14415459 0.02963759
0.14572149 0.03043980
0.14728838 0.03004627
0.14885528 0.03035713
0.15042218 0.02968357
0.15198908 0.02958316
0.15355598 0.02938049
0.15512287 0.02936998
0.15668977 0.03024689
0.15825667 0.03065896
0.15982357 0.03162469
0.16139046 0.03226651
0.16295736 0.03402109
0.16452426 0.03461359
0.16609116 0.03747998
0.16765805 0.03844457
0.16922495 0.04285047
0.17079185 0.04581210
0.17235875 0.05436987
0.17392565 0.06469670
0.17549254 0.08379210
0.17705944 0.10809581
0.17862634 0.14079189
0.18019324 0.17551576
0.18176013 0.20491753
0.18332703 0.21928184
0.18489393 0.21770405
0.18646083 0.20942059
0.18802773 0.20248425
0.18959462 0.20392427
0.19116152 0.24769785
0.19272842 0.30467757
0.19429532 0.37216994
0.19586221 0.41063306
0.19742911 0.41983010
0.19899601 0.38140657
0.20056291 0.31378757
0.20212980 0.22719952
0.20369670 0.15040853
0.20526360 0.09792347
0.20683050 0.06332438
0.20839740 0.03712634
0.20996429 0.03565157
0.21153119 0.02560540
0.21309809 0.02811142
0.21466499 0.02138363
0.21623188 0.02586455
0.21779878 0.01973334
0.21936568 0.02473455
0.22093258 0.02070208
0.22249947 0.02469134
0.22406637 0.02152761
0.22563327 0.02498079
0.22720017 0.02024193
0.22876707 0.02349118
0.23033396 0.01820842
0.23190086 0.02170964
0.23346776 0.01709486
0.23503466 0.02130908
0.23660155 0.01680856
0.23816845 0.02077566
0.23973535 0.01577027
0.24130225 0.01885422
0.24286914 0.01397136
0.24443604 0.01710980
0.24600294 0.01259927
0.24756984 0.01662498
0.24913674 0.01195937
0.25070363 0.01590896
0.25227053 0.01105144
0.25383743 0.01444039
0.25540433 0.00968839
0.25697122 0.01295357
0.25853812 0.00857132
0.26010502 0.01197001
0.26167192 0.00765230
0.26323882 0.01139252
0.26480571 0.00732288
0.26637261 0.01100271
0.26793951 0.00721630
0.26950641 0.01106210
0.27107330 0.00717804
0.27264020 0.01076882
0.27420710 0.00690471
0.27577400 0.01050828
0.27734089 0.00669326
0.27890779 0.01024883
0.28047469 0.00668491
0.28204159 0.01047939
0.28360849 0.00700574
0.28517538 0.01081545
0.28674228 0.00742705
0.28830918 0.01134095
0.28987608 0.00783859
0.29144297 0.01175633
0.29300987 0.00818663
0.29457677 0.01229055
0.29614367 0.00882651
0.29771056 0.01312136
0.29927746 0.00968896
0.30084436 0.01407958
0.30241126 0.01063328
0.30397816 0.01505639
0.30554505 0.01140409
0.30711195 0.01561941
0.30867885 0.01187143
0.31024575 0.01584383
0.31181264 0.01170578
0.31337954 0.01553667
0.31494644 0.01147554
0.31651334 0.01536845
0.31808023 0.01148989
0.31964713 0.01559632
0.32121403 0.01191609
0.32278093 0.01624886
0.32434783 0.01252905
0.32591472 0.01672214
0.32748162 0.01311428
0.32904852 0.01730047
0.33061542 0.01359498
0.33218231 0.01783004
0.33374921 0.01425025
0.33531611 0.01857235
0.33688301 0.01504662
0.33844991 0.01933809
0.34001680 0.01591142
0.34158370 0.02025658
0.34315060 0.01705692
0.34471750 0.02163594
0.34628439 0.01865555
0.34785129 0.02348743
0.34941819 0.02051193
0.35098509 0.02532235
0.35255198 0.02244947
0.35411888 0.02736963
0.35568578 0.02444645
0.35725268 0.02936897
0.35881958 0.02635383
0.36038647 0.03077883
0.36195337 0.02769170
0.36352027 0.03184270
0.36508717 0.02951840
0.36665406 0.03409027
0.36822096 0.03289905
0.36978786 0.03867195
0.37135476 0.03889251
0.37292165 0.04498186
0.37448855 0.04585350
0.37605545 0.05246369
0.37762235 0.05409180
0.37918925 0.06029987
0.38075614 0.06226598
0.38232304 0.06855016
0.38388994 0.06968558
0.38545684 0.07262645
0.38702373 0.07170479
0.38859063 0.07207261
0.39015753 0.07073036
0.39172443 0.07126784
0.39329132 0.07278018
0.39485822 0.07937220
0.39642512 0.08618083
0.39799202 0.09692469
0.39955892 0.10783007
0.40112581 0.11863417
0.40269271 0.13038326
0.40425961 0.13829374
0.40582651 0.14764590
0.40739340 0.15696388
0.40896030 0.16871588
0.41052720 0.18314725
0.41209410 0.20368181
0.41366100 0.23224784
0.41522789 0.26845234
0.41679479 0.30960100
0.41836169 0.36726603
0.41992859 0.41621481
0.42149548 0.48574402
0.42306238 0.55073248
0.42462928 0.62854996
0.42619618 0.72000471
0.42776307 0.80531564
0.42932997 0.89856111
0.43089687 0.96706044
0.43246377 1.00000000
0.43403067 0.99118693
0.43559756 0.93582065
0.43716446 0.85333096
0.43873136 0.73572216
0.44029826 0.62969955
0.44186515 0.51866997
0.44343205 0.43633923
0.44499895 0.36559570
0.44656585 0.31239488
0.44813274 0.28225772
0.44969964 0.26762146
0.45126654 0.25799160
0.45283344 0.26888033
0.45440034 0.28255126
0.45596723 0.30948552
0.45753413 0.33931153
0.45910103 0.38824631
0.46066793 0.43505148
0.46223482 0.51179434
0.46380172 0.58779198
0.46536862 0.68599694
0.46693552 0.77475708
0.46850241 0.87021053
0.47006931 0.93381395
0.47163621 0.98962166
0.47320311 0.99961454
0.47477001 0.98240359
0.47633690 0.90772540
0.47790380 0.81687562
0.47947070 0.67335632
