# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00156690 0.01169375
0.00313380 0.04226008
0.00470069 0.08079300
0.00626759 0.11588393
0.00783449 0.13717951
0.00940139 0.12576943
0.01096828 0.13394899
0.01253518 0.11158894
0.01410208 0.10182692
0.01566898 0.10013131
0.01723587 0.10241196
0.01880277 0.10687222
0.02036967 0.11422842
0.02193657 0.12326738
0.02350347 0.13101340
0.02507036 0.14081671
0.02663726 0.14451223
0.02820416 0.14998268
0.02977106 0.15146535
0.03133795 0.15464752
0.03290485 0.15690779
0.03447175 0.16150761
0.03603865 0.16429035
0.03760555 0.17057086
0.03917244 0.17349828
0.04073934 0.18225808
0.04230624 0.18879419
0.04387314 0.20201083
0.04544003 0.20662768
0.04700693 0.21712342
0.04857383 0.21557313
0.05014073 0.21510551
0.05170762 0.20728191
0.05327452 0.19832073
0.05484142 0.18676286
0.05640832 0.17652532
0.05797522 0.16030755
0.05954211 0.15010054
0.06110901 0.13249430
0.06267591 0.12593868
0.06424281 0.11371872
0.06580970 0.11248376
0.06737660 0.10545817
0.06894350 0.10378319
0.07051040 0.09802956
0.07207729 0.09161415
0.07364419 0.08492015
0.07521109 0.07926512
0.07677799 0.07134245
0.07834489 0.06759638
0.07991178 0.06049940
0.08147868 0.05781334
0.08304558 0.04969938
0.08461248 0.04766424
0.08617937 0.03968878
0.08774627 0.03773302
0.08931317 0.03146674
0.09088007 0.03128584
0.09244696 0.02774650
0.09401386 0.02955130
0.09558076 0.02813412
0.09714766 0.03106121
0.09871456 0.03011260
0.10028145 0.03252692
0.10184835 0.03065954
0.10341525 0.03264174
0.10498215 0.03058153
0.10654904 0.03238639
0.10811594 0.03121826
0.10968284 0.03341562
0.11124974 0.03153759
0.11281664 0.03346464
0.11438353 0.02986022
0.11595043 0.03104613
0.11751733 0.02628745
0.11908423 0.02742998
0.12065112 0.02316461
0.12221802 0.02566579
0.12378492 0.02256140
0.12535182 0.02556030
0.12691871 0.02309295
0.12848561 0.02637049
0.13005251 0.02322089
0.13161941 0.02715484
0.13318631 0.02318085
0.13475320 0.02759263
0.13632010 0.02377921
0.13788700 0.02760264
0.13945390 0.02394125
0.14102079 0.02737817
0.14258769 0.02336715
0.14415459 0.02724472
0.14572149 0.02316758
0.14728838 0.02803153
0.14885528 0.02436718
0.15042218 0.03028972
0.15198908 0.02646357
0.15355598 0.03304099
0.15512287 0.02879204
0.15668977 0.03567871
0.15825667 0.03240654
0.15982357 0.03993636
0.16139046 0.03879187
0.16295736 0.04815932
0.16452426 0.04914656
0.16609116 0.06465064
0.16765805 0.07062913
0.16922495 0.09066931
0.17079185 0.10157031
0.17235875 0.12039479
0.17392565 0.12470779
0.17549254 0.13154319
0.17705944 0.11896004
0.17862634 0.10888049
0.18019324 0.08416966
0.18176013 0.06641920
0.18332703 0.04172268
0.18489393 0.03169575
0.18646083 0.01588838
0.18802773 0.01550844
0.18959462 0.00875697
0.19116152 0.01277987
0.19272842 0.00999966
0.19429532 0.01652972
0.19586221 0.01663742
0.19742911 0.03165042
0.19899601 0.04448697
0.20056291 0.07810806
0.20212980 0.11993937
0.20369670 0.18129152
0.20526360 0.24214689
0.20683050 0.30547950
0.20839740 0.34970666
0.20996429 0.37604983
0.21153119 0.37175508
0.21309809 0.34859784
0.21466499 0.30701855
0.21623188 0.26640383
0.21779878 0.21774245
0.21936568 0.17976610
0.22093258 0.14616940
0.22249947 0.12033917
0.22406637 0.09657448
0.22563327 0.07889792
0.22720017 0.06300458
0.22876707 0.05061363
0.23033396 0.04118954
0.23190086 0.03293909
0.23346776 0.02895442
0.23503466 0.02655134
0.23660155 0.02509432
0.23816845 0.02381073
0.23973535 0.02359444
0.24130225 0.02189219
0.24286914 0.02078444
0.24443604 0.02055279
0.24600294 0.01929637
0.24756984 0.01950740
0.24913674 0.01916111
0.25070363 0.01948240
0.25227053 0.01895374
0.25383743 0.01866359
0.25540433 0.01798804
0.25697122 0.01672222
0.25853812 0.01537679
0.26010502 0.01384463
0.26167192 0.01208448
0.26323882 0.01120192
0.26480571 0.01001082
0.26637261 0.01014999
0.26793951 0.00989707
