# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00344812 0.01490118
0.00689623 0.05481644
0.01034435 0.10865211
0.01379246 0.16141168
0.01724058 0.20440976
0.02068869 0.22654888
0.02413681 0.21211469
0.02758492 0.23295719
0.03103304 0.21326970
0.03448116 0.20826871
0.03792927 0.21869159
0.04137739 0.22352260
0.04482550 0.23748786
0.04827362 0.23268487
0.05172173 0.23126959
0.05516985 0.21553362
0.05861796 0.20058860
0.06206608 0.17822166
0.06551420 0.16299767
0.06896231 0.14364480
0.07241043 0.12986162
0.07585854 0.11425005
0.07930666 0.10221941
0.08275477 0.08919118
0.08620289 0.07742843
0.08965100 0.06536565
0.09309912 0.05664327
0.09654724 0.04862101
0.09999535 0.04367815
0.10344347 0.03849826
0.10689158 0.03593367
0.11033970 0.03383045
0.11378781 0.03269944
0.11723593 0.03054034
0.12068404 0.03108025
0.12413216 0.02989550
0.12758028 0.03016654
0.13102839 0.02972827
0.13447651 0.03100805
0.13792462 0.02965106
0.14137274 0.03221524
0.14482085 0.03058394
0.14826897 0.03321830
0.15171709 0.03296200
0.15516520 0.03576886
0.15861332 0.03753356
0.16206143 0.04768885
0.16550955 0.06547819
0.16895766 0.09409605
0.17240578 0.13461392
0.17585389 0.19583121
0.17930201 0.25763932
0.18275013 0.31692003
0.18619824 0.35434934
0.18964636 0.36974413
0.19309447 0.35017928
0.19654259 0.30771474
0.19999070 0.24202277
0.20343882 0.17374379
0.20688693 0.10946235
0.21033505 0.06797534
0.21378317 0.04056294
0.21723128 0.02214375
0.22067940 0.01487845
0.22412751 0.01708953
0.22757563 0.01432068
0.23102374 0.01635191
0.23447186 0.01359622
0.23791997 0.01578237
0.24136809 0.01346441
0.24481621 0.01538296
0.24826432 0.01347127
0.25171244 0.01522404
0.25516055 0.01270629
0.25860867 0.01489811
0.26205678 0.01185196
0.26550490 0.01441999
0.26895301 0.01178297
0.27240113 0.01392320
0.27584925 0.01196220
0.27929736 0.01444654
0.28274548 0.01249285
0.28619359 0.01487643
0.28964171 0.01318052
0.29308982 0.01557715
0.29653794 0.01388579
0.29998605 0.01621204
0.30343417 0.01505612
0.30688229 0.01745885
0.31033040 0.01675184
0.31377852 0.01946785
0.31722663 0.01934226
0.32067475 0.02213829
0.32412286 0.02314032
0.32757098 0.02651385
0.33101909 0.02928086
0.33446721 0.03415855
0.33791533 0.03913841
0.34136344 0.04579607
0.34481156 0.05326187
0.34825967 0.06108714
0.35170779 0.07006558
0.35515590 0.07925241
0.35860402 0.08875773
0.36205213 0.09942433
0.36550025 0.10859909
0.36894837 0.12181950
0.37239648 0.13449876
0.37584460 0.15177234
0.37929271 0.17887790
0.38274083 0.21494696
0.38618894 0.25850509
0.38963706 0.31370465
0.39308517 0.36847504
0.39653329 0.41399502
0.39998141 0.43983370
0.40342952 0.43888030
0.40687764 0.40869890
0.41032575 0.35494144
0.41377387 0.28292345
0.41722198 0.21147450
0.42067010 0.14104534
0.42411821 0.09177227
0.42756633 0.06111442
0.43101445 0.04857654
0.43446256 0.04700646
0.43791068 0.06352790
0.44135879 0.08546848
0.44480691 0.11062709
0.44825502 0.13850396
0.45170314 0.16568779
0.45515126 0.19453268
0.45859937 0.22746318
0.46204749 0.27284141
0.46549560 0.33218323
0.46894372 0.42076562
0.47239183 0.53438141
0.47583995 0.66983544
0.47928806 0.80021532
0.48273618 0.91784337
0.48618430 0.98299719
0.48963241 1.00000000
0.49308053 0.93865005
0.49652864 0.83465950
0.49997676 0.67896658
0.50342487 0.52224315
0.50687299 0.36431145
0.51032110 0.24240240
0.51376922 0.13800445
0.51721734 0.07937225
0.52066545 0.03239931
0.52411357 0.01569149
0.52756168 -0.00424377
0.53100980 -0.00061815
0.53445791 -0.01341088
0.53790603 -0.00565197
0.54135414 -0.01529436
0.54480226 -0.00742406
0.54825038 -0.01531555
0.55169849 -0.00818444
0.55514661 -0.01503155
0.55859472 -0.00819465
0.56204284 -0.01451171
0.56549095 -0.00791657
0.56893907 -0.01414260
0.57238718 -0.00761295
0.57583530 -0.01369024
0.57928342 -0.00730284
0.58273153 -0.01342527
0.58617965 -0.00710148
0.58962776 -0.01278247
0.59307588 -0.00665793
0.59652399 -0.01214029
0.59997211 -0.00584203
0.60342022 -0.01109316
0.60686834 -0.00484318
0.61031646 -0.00979984
0.61376457 -0.00376790
0.61721269 -0.00865686
0.62066080 -0.00294548
0.62410892 -0.00785175
0.62755703 -0.00245629
0.63100515 -0.00745008
0.63445326 -0.00240465
0.63790138 -0.00722148
0.64134950 -0.00247610
0.64479761 -0.00723611
0.64824573 -0.00254306
0.65169384 -0.00719690
0.65514196 -0.00239074
0.65859007 -0.00684835
0.66203819 -0.00194684
0.66548630 -0.00623798
0.66893442 -0.00131717
0.67238254 -0.00560476
0.67583065 -0.00081311
0.67927877 -0.00529659
0.68272688 -0.00084936
0.68617500 -0.00544374
0.68962311 -0.00126250
0.69307123 -0.00593919
0.69651934 -0.00185041
0.69996746 -0.00632151
0.70341558 -0.00228094
0.70686369 -0.00647330
0.71031181 -0.00238456
0.71375992 -0.00649074
0.71720804 -0.00237020
0.72065615 -0.00655124
0.72410427 -0.00242545
0.72755238 -0.00670108
0.73100050 -0.00266254
0.73444862 -0.00687913
0.73789673 -0.00285520
0.74134485 -0.00703335
0.74479296 -0.00290089
0.74824108 -0.00696217
0.75168919 -0.00274277
0.75513731 -0.00667689
0.75858543 -0.00235179
0.76203354 -0.00620628
0.76548166 -0.00184356
0.76892977 -0.00564965
0.77237789 -0.00132762
0.77582600 -0.00515814
0.77927412 -0.00096019
0.78272223 -0.00484693
0.78617035 -0.00073784
0.78961847 -0.00464693
0.79306658 -0.00049797
0.79651470 -0.00428910
0.79996281 -0.00011658
0.80341093 -0.00376637
0.80685904 0.00053645
0.81030716 -0.00322282
0.81375527 0.00106752
0.81720339 -0.00277164
0.82065151 0.00129970
0.82409962 -0.00257490
0.82754774 0.00142611
0.83099585 -0.00247194
0.83444397 0.00141675
0.83789208 -0.00233137
0.84134020 0.00154871
0.84478831 -0.00214495
0.84823643 0.00181832
