# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00156690 0.01207606
0.00313380 0.04357293
0.00470069 0.08340016
0.00626759 0.12067200
0.00783449 0.14077387
0.00940139 0.13365181
0.01096828 0.13926910
0.01253518 0.12788005
0.01410208 0.11783843
0.01566898 0.12482893
0.01723587 0.13178432
0.01880277 0.13828739
0.02036967 0.14438866
0.02193657 0.15051076
0.02350347 0.15797532
0.02507036 0.16446929
0.02663726 0.17077134
0.02820416 0.17924902
0.02977106 0.18550027
0.03133795 0.19606481
0.03290485 0.20293575
0.03447175 0.21755781
0.03603865 0.22516351
0.03760555 0.23564211
0.03917244 0.23786504
0.04073934 0.24737038
0.04230624 0.24268260
0.04387314 0.24705767
0.04544003 0.24365335
0.04700693 0.24862746
0.04857383 0.24685063
0.05014073 0.25176567
0.05170762 0.24355924
0.05327452 0.24878379
0.05484142 0.23612614
0.05640832 0.23353673
0.05797522 0.21576752
0.05954211 0.21343459
0.06110901 0.19548043
0.06267591 0.18698602
0.06424281 0.16994957
0.06580970 0.15971566
0.06737660 0.14174323
0.06894350 0.13087887
0.07051040 0.11436027
0.07207729 0.10572368
0.07364419 0.09405303
0.07521109 0.08907722
0.07677799 0.07999964
0.07834489 0.07604607
0.07991178 0.06740908
0.08147868 0.06345425
0.08304558 0.05689229
0.08461248 0.05266805
0.08617937 0.04736524
0.08774627 0.04520763
0.08931317 0.04013340
0.09088007 0.03944688
0.09244696 0.03614252
0.09401386 0.03853532
0.09558076 0.03887081
0.09714766 0.04017516
0.09871456 0.04156717
0.10028145 0.03991620
0.10184835 0.03869286
0.10341525 0.03439840
0.10498215 0.03172413
0.10654904 0.02771125
0.10811594 0.02630493
0.10968284 0.02552162
0.11124974 0.02653176
0.11281664 0.02863963
0.11438353 0.03056624
0.11595043 0.03210174
0.11751733 0.03331850
0.11908423 0.03275936
0.12065112 0.03210437
0.12221802 0.03132609
0.12378492 0.03100504
0.12535182 0.03008071
0.12691871 0.03043964
0.12848561 0.02960874
0.13005251 0.02894635
0.13161941 0.02792273
0.13318631 0.02651120
0.13475320 0.02605008
0.13632010 0.02580443
0.13788700 0.02619717
0.13945390 0.02637861
0.14102079 0.02756548
0.14258769 0.02671718
0.14415459 0.02708412
0.14572149 0.02598877
0.14728838 0.02612300
0.14885528 0.02544763
0.15042218 0.02636937
0.15198908 0.02608669
0.15355598 0.02798616
0.15512287 0.02815495
0.15668977 0.03123299
0.15825667 0.03154424
0.15982357 0.03549097
0.16139046 0.03632134
0.16295736 0.04077098
0.16452426 0.04204002
0.16609116 0.04865933
0.16765805 0.05269941
0.16922495 0.06417690
0.17079185 0.07811433
0.17235875 0.10002841
0.17392565 0.12345951
0.17549254 0.15322848
0.17705944 0.17465902
0.17862634 0.19017641
0.18019324 0.18579810
0.18176013 0.17058899
0.18332703 0.13829194
0.18489393 0.10567563
0.18646083 0.06816448
0.18802773 0.04394228
0.18959462 0.02843301
0.19116152 0.02705710
0.19272842 0.04021724
0.19429532 0.06977893
0.19586221 0.11457977
0.19742911 0.17692808
0.19899601 0.23898063
0.20056291 0.29538835
0.20212980 0.32823016
0.20369670 0.33318948
0.20526360 0.30760877
0.20683050 0.26089356
0.20839740 0.20354807
0.20996429 0.15072302
0.21153119 0.10907899
0.21309809 0.07806346
0.21466499 0.05848593
0.21623188 0.04846751
0.21779878 0.03960431
0.21936568 0.03547985
0.22093258 0.03101333
0.22249947 0.02781701
0.22406637 0.02507460
0.22563327 0.02391322
0.22720017 0.02159828
0.22876707 0.02147824
0.23033396 0.01949043
0.23190086 0.01998838
0.23346776 0.01794300
0.23503466 0.01853647
0.23660155 0.01676567
0.23816845 0.01754459
0.23973535 0.01569005
0.24130225 0.01670026
0.24286914 0.01450928
0.24443604 0.01641326
0.24600294 0.01369789
0.24756984 0.01550855
0.24913674 0.01294857
0.25070363 0.01450659
0.25227053 0.01156371
0.25383743 0.01355727
0.25540433 0.01036215
0.25697122 0.01291995
0.25853812 0.00963692
0.26010502 0.01201041
0.26167192 0.00875566
0.26323882 0.01097578
0.26480571 0.00746669
0.26637261 0.00979708
0.26793951 0.00658135
0.26950641 0.00934800
0.27107330 0.00665437
0.27264020 0.00996351
0.27420710 0.00741380
0.27577400 0.01101930
0.27734089 0.00821084
0.27890779 0.01150603
0.28047469 0.00824051
0.28204159 0.01130684
0.28360849 0.00768195
0.28517538 0.01083381
0.28674228 0.00716825
0.28830918 0.01048808
0.28987608 0.00705826
0.29144297 0.01063363
0.29300987 0.00755224
0.29457677 0.01153583
0.29614367 0.00885788
0.29771056 0.01278752
0.29927746 0.00999446
0.30084436 0.01357149
0.30241126 0.01024561
0.30397816 0.01356461
0.30554505 0.01005586
0.30711195 0.01363132
0.30867885 0.01020666
0.31024575 0.01399131
0.31181264 0.01078092
0.31337954 0.01455833
0.31494644 0.01156779
0.31651334 0.01523892
0.31808023 0.01241754
0.31964713 0.01614277
0.32121403 0.01294845
0.32278093 0.01657571
