# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00344812 0.01374344
0.00689623 0.05096867
0.01034435 0.10061226
0.01379246 0.15123418
0.01724058 0.19364237
0.02068869 0.22287384
0.02413681 0.21442089
0.02758492 0.25083498
0.03103304 0.23393974
0.03448116 0.23667370
0.03792927 0.24246285
0.04137739 0.24838315
0.04482550 0.24363558
0.04827362 0.24393019
0.05172173 0.23122739
0.05516985 0.22026642
0.05861796 0.19844547
0.06206608 0.17925178
0.06551420 0.15352937
0.06896231 0.13199458
0.07241043 0.11158429
0.07585854 0.09631883
0.07930666 0.08114946
0.08275477 0.07142438
0.08620289 0.06155549
0.08965100 0.05371691
0.09309912 0.04620578
0.09654724 0.03936970
0.09999535 0.03688856
0.10344347 0.03266718
0.10689158 0.03254266
0.11033970 0.03083674
0.11378781 0.03131023
0.11723593 0.03061117
0.12068404 0.03066939
0.12413216 0.03025824
0.12758028 0.03061646
0.13102839 0.03013853
0.13447651 0.03076243
0.13792462 0.02988949
0.14137274 0.03067321
0.14482085 0.02999040
0.14826897 0.03091273
0.15171709 0.03096459
0.15516520 0.03214458
0.15861332 0.03486319
0.16206143 0.04536679
0.16550955 0.06241615
0.16895766 0.08781217
0.17240578 0.13061010
0.17585389 0.18386562
0.17930201 0.24035838
0.18275013 0.28782255
0.18619824 0.31814412
0.18964636 0.32255694
0.19309447 0.30202104
0.19654259 0.25673913
0.19999070 0.19803540
0.20343882 0.13532068
0.20688693 0.08559906
0.21033505 0.05220277
0.21378317 0.03109225
0.21723128 0.01506395
0.22067940 0.01661466
0.22412751 0.01311765
0.22757563 0.01661875
0.23102374 0.01343236
0.23447186 0.01635807
0.23791997 0.01316796
0.24136809 0.01644849
0.24481621 0.01269354
0.24826432 0.01652117
0.25171244 0.01222416
0.25516055 0.01612584
0.25860867 0.01166836
0.26205678 0.01573742
0.26550490 0.01078764
0.26895301 0.01547055
0.27240113 0.01002487
0.27584925 0.01526719
0.27929736 0.00962707
0.28274548 0.01533382
0.28619359 0.00938452
0.28964171 0.01564819
0.29308982 0.00975191
0.29653794 0.01674559
0.29998605 0.01078204
0.30343417 0.01860075
0.30688229 0.01241931
0.31033040 0.02059438
0.31377852 0.01393224
0.31722663 0.02255178
0.32067475 0.01522685
0.32412286 0.02446464
0.32757098 0.01714122
0.33101909 0.02697501
0.33446721 0.02008429
0.33791533 0.03124520
0.34136344 0.02449898
0.34481156 0.03815660
0.34825967 0.03365836
0.35170779 0.05132551
0.35515590 0.05105826
0.35860402 0.07617215
0.36205213 0.08446566
0.36550025 0.11878745
0.36894837 0.13537755
0.37239648 0.17734233
0.37584460 0.19971682
0.37929271 0.24172376
0.38274083 0.25718868
0.38618894 0.28308908
0.38963706 0.27657177
0.39308517 0.27772922
0.39653329 0.24466895
0.39998141 0.22165229
0.40342952 0.17190458
0.40687764 0.14312835
0.41032575 0.09640938
0.41377387 0.07740056
0.41722198 0.04381721
0.42067010 0.03929147
0.42411821 0.02020043
0.42756633 0.02685945
0.43101445 0.01644776
0.43446256 0.02858235
0.43791068 0.02380738
0.44135879 0.03942963
0.44480691 0.03753377
0.44825502 0.05529510
0.45170314 0.05575408
0.45515126 0.07446164
0.45859937 0.07647160
0.46204749 0.09553002
0.46549560 0.09966598
0.46894372 0.12405688
0.47239183 0.13771306
0.47583995 0.18267626
0.47928806 0.22583678
0.48273618 0.30919369
0.48618430 0.40280851
0.48963241 0.53416800
0.49308053 0.66416831
0.49652864 0.80346282
0.49997676 0.91050799
0.50342487 0.98790741
0.50687299 1.00000000
0.51032110 0.96294087
0.51376922 0.86063352
0.51721734 0.72998707
0.52066545 0.56804776
0.52411357 0.42171923
0.52756168 0.27755045
0.53100980 0.17402758
0.53445791 0.09003098
0.53790603 0.04499706
0.54135414 0.01004288
0.54480226 -0.00239725
0.54825038 -0.01253268
0.55169849 -0.01384143
0.55514661 -0.01862756
0.55859472 -0.01672517
0.56204284 -0.02110410
0.56549095 -0.01759946
0.56893907 -0.02215907
0.57238718 -0.01712946
0.57583530 -0.02072926
0.57928342 -0.01585030
0.58273153 -0.01974742
0.58617965 -0.01430183
0.58962776 -0.01893098
0.59307588 -0.01336241
0.59652399 -0.01808683
0.59997211 -0.01247513
0.60342022 -0.01657865
0.60686834 -0.01118766
0.61031646 -0.01506189
0.61376457 -0.00995287
0.61721269 -0.01385725
0.62066080 -0.00901202
0.62410892 -0.01301672
0.62755703 -0.00826992
0.63100515 -0.01229172
0.63445326 -0.00759816
0.63790138 -0.01159375
0.64134950 -0.00708724
0.64479761 -0.01145017
0.64824573 -0.00696805
0.65169384 -0.01142302
0.65514196 -0.00714520
0.65859007 -0.01153775
0.66203819 -0.00735504
0.66548630 -0.01142788
0.66893442 -0.00742207
0.67238254 -0.01122262
0.67583065 -0.00726342
0.67927877 -0.01102376
0.68272688 -0.00702412
0.68617500 -0.01068042
0.68962311 -0.00676168
0.69307123 -0.01039233
0.69651934 -0.00642336
0.69996746 -0.01005698
0.70341558 -0.00615644
0.70686369 -0.00983359
0.71031181 -0.00603793
0.71375992 -0.00965325
0.71720804 -0.00598598
0.72065615 -0.00946562
0.72410427 -0.00584556
0.72755238 -0.00923975
0.73100050 -0.00560968
0.73444862 -0.00892946
0.73789673 -0.00543515
0.74134485 -0.00872411
0.74479296 -0.00535351
0.74824108 -0.00856244
0.75168919 -0.00529128
0.75513731 -0.00839447
0.75858543 -0.00514285
0.76203354 -0.00813072
0.76548166 -0.00490133
0.76892977 -0.00779748
0.77237789 -0.00465328
0.77582600 -0.00745047
0.77927412 -0.00441548
0.78272223 -0.00720925
0.78617035 -0.00416075
0.78961847 -0.00688252
0.79306658 -0.00387484
0.79651470 -0.00642907
0.79996281 -0.00345624
0.80341093 -0.00580713
0.80685904 -0.00300159
0.81030716 -0.00502917
0.81375527 -0.00233080
0.81720339 -0.00405451
0.82065151 -0.00108545
0.82409962 -0.00250993
0.82754774 0.00060938
0.83099585 -0.00081162
0.83444397 0.00201288
0.83789208 0.00018127
0.84134020 0.00252755
0.84478831 0.00024088
0.84823643 0.00229624
0.85168455 -0.00019565
0.85513266 0.00192534
0.85858078 -0.00028848
0.86202889 0.00167008
0.86547701 -0.00020576
0.86892512 0.00156659
0.87237324 -0.00036456
0.87582135 0.00160902
0.87926947 -0.00051469
0.88271759 0.00157590
0.88616570 -0.00067224
0.88961382 0.00141132
0.89306193 -0.00102020
0.89651005 0.00090123
0.89995816 -0.00172427
0.90340628 0.00011785
0.90685439 -0.00260589
0.91030251 -0.00069711
0.91375063 -0.00312419
0.91719874 -0.00121737
0.92064686 -0.00338483
0.92409497 -0.00134537
0.92754309 -0.00356761
0.93099120 -0.00135253
0.93443932 -0.00374474
0.93788743 -0.00149127
0.94133555 -0.00392651
0.94478367 -0.00172502
0.94823178 -0.00412910
0.95167990 -0.00208937
0.95512801 -0.00443193
0.95857613 -0.00246007
0.96202424 -0.00474488
0.96547236 -0.00272675
0.96892047 -0.00496018
0.97236859 -0.00291679
0.97581671 -0.00506338
0.97926482 -0.00301552
0.98271294 -0.00511743
0.98616105 -0.00305831
0.98960917 -0.00510125
0.99305728 -0.00304869
0.99650540 -0.00501630
0.99995351 -0.00302929
1.00340163 -0.00495240
1.00684975 -0.00296456
1.01029786 -0.00495743
1.01374598 -0.00290611
1.01719409 -0.00492163
1.02064221 -0.00283621
1.02409032 -0.00485941
1.02753844 -0.00279163
1.03098656 -0.00481442
1.03443467 -0.00276358
1.03788279 -0.00481248
1.04133090 -0.00274938
1.04477902 -0.00481426
1.04822713 -0.00272588
1.05167525 -0.00476542
